t,p_t_x,p_t_y,h_t,v_t,e_t,|A_t|,|M_t|,o_s_t,Pi,D_t,dt_wait,dt_x,dt_y
1,7.56,-119.25,5.01,0.00,0.9969,19,0,1.00,None,1,0.00,0.00,0.00
2,7.56,-119.25,5.01,0.00,0.9969,19,0,1.00,None,1,0.00,0.00,0.00
3,7.56,-119.25,5.01,0.00,0.9969,19,0,1.00,None,1,0.00,0.00,0.00
4,7.56,-119.25,5.01,0.00,0.9969,19,0,1.00,None,1,0.00,0.00,0.00
5,7.56,-119.25,5.01,0.00,0.9969,19,0,1.00,None,1,0.00,0.00,0.00
6,7.56,-119.25,5.01,0.00,0.9969,19,0,1.00,None,1,0.00,0.00,0.00
7,7.56,-119.25,5.01,0.00,0.9969,19,0,1.00,None,1,0.00,0.00,0.00
8,7.56,-119.25,5.01,0.00,0.9969,19,0,1.00,None,1,0.00,0.00,0.00
9,7.56,-119.25,5.01,0.00,0.9969,19,0,1.00,None,1,0.00,0.00,0.00
10,7.56,-119.25,5.01,0.00,0.9969,19,0,1.00,None,1,0.00,0.00,0.00
11,7.54,-119.21,5.01,0.67,0.9968,19,0,1.00,None,1,0.00,0.00,0.00
12,7.54,-119.21,5.01,0.67,0.9968,19,0,1.00,None,1,0.00,0.00,0.00
13,7.54,-119.21,5.01,0.67,0.9968,19,0,1.00,None,1,0.00,0.00,0.00
14,7.54,-119.21,5.01,0.67,0.9968,19,0,1.00,None,1,0.00,0.00,0.00
15,7.54,-119.21,5.01,0.67,0.9968,19,0,1.00,None,1,0.00,0.00,0.00
16,7.54,-119.21,5.01,0.67,0.9968,19,0,1.00,None,1,0.00,0.00,0.00
17,7.47,-119.05,5.01,1.34,0.9968,19,0,1.00,None,1,0.00,0.00,0.00
18,7.47,-119.05,5.01,1.34,0.9968,19,0,1.00,None,1,0.00,0.00,0.00
19,7.47,-119.05,5.01,1.34,0.9968,19,0,1.00,None,1,0.00,0.00,0.00
20,7.47,-119.05,5.01,1.34,0.9968,19,0,1.00,None,1,0.00,0.00,0.00
21,7.42,-118.92,5.01,2.00,0.9967,19,0,1.00,None,1,0.00,0.00,0.00
22,7.42,-118.92,5.01,2.00,0.9967,19,0,1.00,None,1,0.00,0.00,0.00
23,7.39,-118.85,5.01,2.00,0.9967,19,0,1.00,None,1,0.00,0.00,0.00
24,7.39,-118.85,5.01,2.00,0.9967,19,0,1.00,None,1,0.00,0.00,0.00
25,7.39,-118.85,5.01,2.00,0.9967,19,0,1.00,None,1,0.00,0.00,0.00
26,7.34,-118.72,5.01,2.00,0.9967,19,0,1.00,None,1,0.00,0.00,0.00
27,7.34,-118.72,5.01,2.00,0.9967,19,0,1.00,None,1,0.00,0.00,0.00
28,7.32,-118.66,5.01,2.00,0.9966,19,0,1.00,None,1,0.00,0.00,0.00
29,7.32,-118.66,5.01,2.00,0.9966,19,0,1.00,None,1,0.00,0.00,0.00
30,7.32,-118.66,5.01,2.00,0.9966,19,0,1.00,None,1,0.00,0.00,0.00
31,7.27,-118.54,5.01,2.00,0.9966,19,0,1.00,None,1,0.00,0.00,0.00
32,7.27,-118.54,5.01,2.00,0.9966,19,0,1.00,None,1,0.00,0.00,0.00
33,7.27,-118.54,5.01,2.00,0.9966,19,0,1.00,None,1,0.00,0.00,0.00
34,7.27,-118.54,5.01,2.00,0.9966,19,0,1.00,None,1,0.00,0.00,0.00
35,7.27,-118.54,5.01,2.00,0.9966,19,0,1.00,None,1,0.00,0.00,0.00
36,7.19,-118.35,5.01,2.00,0.9965,19,0,1.00,None,1,0.00,0.00,0.00
37,7.19,-118.35,5.01,2.00,0.9965,19,0,1.00,None,1,0.00,0.00,0.00
38,7.19,-118.35,5.01,2.00,0.9965,19,0,1.00,None,1,0.00,0.00,0.00
39,7.19,-118.35,5.01,2.00,0.9965,19,0,1.00,None,1,0.00,0.00,0.00
40,7.14,-118.23,5.01,2.00,0.9965,19,0,1.00,None,1,0.00,0.00,0.00
41,7.12,-118.16,5.01,2.00,0.9965,19,0,1.00,None,1,0.00,0.00,0.00
42,7.12,-118.16,5.01,2.00,0.9965,19,0,1.00,None,1,0.00,0.00,0.00
43,7.12,-118.16,5.01,2.00,0.9965,19,0,1.00,None,1,0.00,0.00,0.00
44,7.07,-118.05,5.01,2.00,0.9965,19,0,1.00,None,1,0.00,0.00,0.00
45,7.07,-118.05,5.01,2.00,0.9965,19,0,1.00,None,1,0.00,0.00,0.00
46,7.07,-118.05,5.01,2.00,0.9965,19,0,1.00,None,1,0.00,0.00,0.00
47,7.07,-118.05,5.01,2.00,0.9965,19,0,1.00,None,1,0.00,0.00,0.00
48,7.02,-117.92,5.01,2.00,0.9964,19,0,1.00,None,1,0.00,0.00,0.00
49,7.02,-117.92,5.01,2.00,0.9964,19,0,1.00,None,1,0.00,0.00,0.00
50,7.02,-117.92,5.01,2.00,0.9964,19,0,1.00,None,1,0.00,0.00,0.00
51,6.97,-117.80,5.01,2.00,0.9964,19,0,1.00,None,1,0.00,0.00,0.00
52,6.97,-117.80,5.01,2.00,0.9964,19,0,1.00,None,1,0.00,0.00,0.00
53,6.97,-117.80,5.01,2.00,0.9964,19,0,1.00,None,1,0.00,0.00,0.00
54,6.92,-117.68,5.01,2.00,0.9963,19,0,1.00,None,1,0.00,0.00,0.00
55,6.92,-117.68,5.01,2.00,0.9963,19,0,1.00,None,1,0.00,0.00,0.00
56,6.92,-117.68,5.01,2.00,0.9963,19,0,1.00,None,1,0.00,0.00,0.00
57,6.92,-117.68,5.01,2.00,0.9963,19,0,1.00,None,1,0.00,0.00,0.00
58,6.92,-117.68,5.01,2.00,0.9963,19,0,1.00,None,1,0.00,0.00,0.00
59,6.92,-117.68,5.01,2.00,0.9963,19,0,1.00,None,1,0.00,0.00,0.00
60,6.84,-117.48,5.01,2.00,0.9963,19,0,1.00,None,1,0.00,0.00,0.00
61,6.84,-117.48,5.01,2.00,0.9963,19,0,1.00,None,1,0.00,0.00,0.00
62,6.84,-117.48,5.01,2.00,0.9963,19,0,1.00,None,1,0.00,0.00,0.00
63,6.84,-117.48,5.01,2.00,0.9963,19,0,1.00,None,1,0.00,0.00,0.00
64,6.77,-117.31,5.02,2.00,0.9962,19,0,1.00,None,1,0.00,0.00,0.00
65,6.77,-117.31,5.02,2.00,0.9962,19,0,1.00,None,1,0.00,0.00,0.00
66,6.77,-117.31,5.02,2.00,0.9962,19,0,1.00,None,1,0.00,0.00,0.00
67,6.77,-117.31,5.02,2.00,0.9962,19,0,1.00,None,1,0.00,0.00,0.00
68,6.72,-117.19,5.02,2.00,0.9962,19,0,1.00,None,1,0.00,0.00,0.00
69,6.72,-117.19,5.02,2.00,0.9962,19,0,1.00,None,1,0.00,0.00,0.00
70,6.72,-117.19,5.02,2.00,0.9962,19,0,1.00,None,1,0.00,0.00,0.00
71,6.67,-117.06,5.02,2.00,0.9962,19,0,1.00,None,1,0.00,0.00,0.00
72,6.67,-117.06,5.02,2.00,0.9962,19,0,1.00,None,1,0.00,0.00,0.00
73,6.64,-116.99,5.02,2.00,0.9961,19,0,1.00,None,1,0.00,0.00,0.00
74,6.64,-116.99,5.02,2.00,0.9961,19,0,1.00,None,1,0.00,0.00,0.00
75,6.62,-116.93,5.02,2.00,0.9961,19,0,1.00,None,1,0.00,0.00,0.00
76,6.62,-116.93,5.02,2.00,0.9961,19,0,1.00,None,1,0.00,0.00,0.00
77,6.62,-116.93,5.02,2.00,0.9961,19,0,1.00,None,1,0.00,0.00,0.00
78,6.62,-116.93,5.02,2.00,0.9961,19,0,1.00,None,1,0.00,0.00,0.00
79,6.54,-116.75,5.02,2.00,0.9961,19,0,1.00,None,1,0.00,0.00,0.00
80,6.54,-116.75,5.02,2.00,0.9961,19,0,1.00,None,1,0.00,0.00,0.00
81,6.54,-116.75,5.02,2.00,0.9961,19,0,1.00,None,1,0.00,0.00,0.00
82,6.54,-116.75,5.02,2.00,0.9961,19,0,1.00,None,1,0.00,0.00,0.00
83,6.49,-116.62,5.02,2.00,0.9960,19,0,1.00,None,1,0.00,0.00,0.00
84,6.49,-116.62,5.02,2.00,0.9960,19,0,1.00,None,1,0.00,0.00,0.00
85,6.49,-116.62,5.02,2.00,0.9960,19,0,1.00,None,1,0.00,0.00,0.00
86,6.45,-116.50,5.02,2.00,0.9960,19,0,1.00,None,1,0.00,0.00,0.00
87,6.45,-116.50,5.02,2.00,0.9960,19,0,1.00,None,1,0.00,0.00,0.00
88,6.45,-116.50,5.02,2.00,0.9960,19,0,1.00,None,1,0.00,0.00,0.00
89,6.40,-116.38,5.02,2.00,0.9960,19,0,1.00,None,1,0.00,0.00,0.00
90,6.40,-116.38,5.02,2.00,0.9960,19,0,1.00,None,1,0.00,0.00,0.00
91,6.37,-116.31,5.02,2.00,0.9959,19,0,1.00,None,1,0.00,0.00,0.00
92,6.37,-116.31,5.02,2.00,0.9959,19,0,1.00,None,1,0.00,0.00,0.00
93,6.37,-116.31,5.02,2.00,0.9959,19,0,1.00,None,1,0.00,0.00,0.00
94,6.32,-116.20,5.02,2.00,0.9959,19,0,1.00,None,1,0.00,0.00,0.00
95,6.32,-116.20,5.02,2.00,0.9959,19,0,1.00,None,1,0.00,0.00,0.00
96,6.32,-116.20,5.02,2.00,0.9959,19,0,1.00,None,1,0.00,0.00,0.00
97,6.27,-116.08,5.02,2.00,0.9959,19,0,1.00,None,1,0.00,0.00,0.00
98,6.27,-116.08,5.02,2.00,0.9959,19,0,1.00,None,1,0.00,0.00,0.00
99,6.27,-116.08,5.02,2.00,0.9959,19,0,1.00,None,1,0.00,0.00,0.00
100,6.27,-116.08,5.02,2.00,0.9959,19,0,1.00,None,1,0.00,0.00,0.00
101,6.23,-115.96,5.02,2.00,0.9958,19,0,1.00,None,1,0.00,0.00,0.00
102,6.23,-115.96,5.02,2.00,0.9958,19,0,1.00,None,1,0.00,0.00,0.00
103,6.23,-115.96,5.02,2.00,0.9958,19,0,1.00,None,1,0.00,0.00,0.00
104,6.18,-115.84,5.02,2.00,0.9958,19,0,1.00,None,1,0.00,0.00,0.00
105,6.18,-115.84,5.02,2.00,0.9958,19,0,1.00,None,1,0.00,0.00,0.00
106,6.18,-115.84,5.02,2.00,0.9958,19,0,1.00,None,1,0.00,0.00,0.00
107,6.13,-115.72,5.02,2.00,0.9958,19,0,1.00,None,1,0.00,0.00,0.00
108,6.13,-115.72,5.02,2.00,0.9958,19,0,1.00,None,1,0.00,0.00,0.00
109,6.13,-115.72,5.02,2.00,0.9958,19,0,1.00,None,1,0.00,0.00,0.00
110,6.13,-115.72,5.02,2.00,0.9958,19,0,1.00,None,1,0.00,0.00,0.00
111,6.08,-115.59,5.02,2.00,0.9957,19,0,1.00,None,1,0.00,0.00,0.00
112,6.08,-115.59,5.02,2.00,0.9957,19,0,1.00,None,1,0.00,0.00,0.00
113,6.08,-115.59,5.02,2.00,0.9957,19,0,1.00,None,1,0.00,0.00,0.00
114,6.03,-115.47,5.02,2.00,0.9957,19,0,1.00,None,1,0.00,0.00,0.00
115,6.03,-115.47,5.02,2.00,0.9957,19,0,1.00,None,1,0.00,0.00,0.00
116,6.03,-115.47,5.02,2.00,0.9957,19,0,1.00,None,1,0.00,0.00,0.00
117,5.98,-115.35,5.02,2.00,0.9956,19,0,1.00,None,1,0.00,0.00,0.00
118,5.98,-115.35,5.02,2.00,0.9956,19,0,1.00,None,1,0.00,0.00,0.00
119,5.98,-115.35,5.02,2.00,0.9956,19,0,1.00,None,1,0.00,0.00,0.00
120,5.93,-115.23,5.02,2.00,0.9956,19,0,1.00,None,1,0.00,0.00,0.00
121,5.93,-115.23,5.02,2.00,0.9956,19,0,1.00,None,1,0.00,0.00,0.00
122,5.93,-115.23,5.02,2.00,0.9956,19,0,1.00,None,1,0.00,0.00,0.00
123,5.93,-115.23,5.02,2.00,0.9956,19,0,1.00,None,1,0.00,0.00,0.00
124,5.88,-115.11,5.02,2.00,0.9956,19,0,1.00,None,1,0.00,0.00,0.00
125,5.88,-115.11,5.02,2.00,0.9956,19,0,1.00,None,1,0.00,0.00,0.00
126,5.88,-115.11,5.02,2.00,0.9956,19,0,1.00,None,1,0.00,0.00,0.00
127,5.83,-114.98,5.02,2.00,0.9955,19,0,1.00,None,1,0.00,0.00,0.00
128,5.83,-114.98,5.02,2.00,0.9955,19,0,1.00,None,1,0.00,0.00,0.00
129,5.83,-114.98,5.02,2.00,0.9955,19,0,1.00,None,1,0.00,0.00,0.00
130,5.78,-114.86,5.02,2.00,0.9955,19,0,1.00,None,1,0.00,0.00,0.00
131,5.78,-114.86,5.02,2.00,0.9955,19,0,1.00,None,1,0.00,0.00,0.00
132,5.78,-114.86,5.02,2.00,0.9955,19,0,1.00,None,1,0.00,0.00,0.00
133,5.78,-114.86,5.02,2.00,0.9955,19,0,1.00,None,1,0.00,0.00,0.00
134,5.73,-114.74,5.02,2.00,0.9955,19,0,1.00,None,1,0.00,0.00,0.00
135,5.73,-114.74,5.02,2.00,0.9955,19,0,1.00,None,1,0.00,0.00,0.00
136,5.73,-114.74,5.02,2.00,0.9955,19,0,1.00,None,1,0.00,0.00,0.00
137,5.68,-114.62,5.02,2.00,0.9954,19,0,1.00,None,1,0.00,0.00,0.00
138,5.68,-114.62,5.02,2.00,0.9954,19,0,1.00,None,1,0.00,0.00,0.00
139,5.68,-114.62,5.02,2.00,0.9954,19,0,1.00,None,1,0.00,0.00,0.00
140,5.68,-114.62,5.02,2.00,0.9954,19,0,1.00,None,1,0.00,0.00,0.00
141,5.68,-114.62,5.02,2.00,0.9954,19,0,1.00,None,1,0.00,0.00,0.00
142,5.68,-114.62,5.02,2.00,0.9954,19,0,1.00,None,1,0.00,0.00,0.00
143,5.59,-114.38,5.02,2.00,0.9954,19,0,1.00,None,1,0.00,0.00,0.00
144,5.59,-114.38,5.02,2.00,0.9954,19,0,1.00,None,1,0.00,0.00,0.00
145,5.59,-114.38,5.02,2.00,0.9954,19,0,1.00,None,1,0.00,0.00,0.00
146,5.59,-114.38,5.02,2.00,0.9954,19,0,1.00,None,1,0.00,0.00,0.00
147,5.54,-114.25,5.02,2.00,0.9953,19,0,1.00,None,1,0.00,0.00,0.00
148,5.54,-114.25,5.02,2.00,0.9953,19,0,1.00,None,1,0.00,0.00,0.00
149,5.50,-114.17,5.02,2.00,0.9953,19,0,1.00,None,1,0.00,0.00,0.00
150,5.50,-114.17,5.02,2.00,0.9953,19,0,1.00,None,1,0.00,0.00,0.00
151,5.50,-114.17,5.02,2.00,0.9953,19,0,1.00,None,1,0.00,0.00,0.00
152,5.46,-114.06,5.02,2.00,0.9953,19,0,1.00,None,1,0.00,0.00,0.00
153,5.44,-114.01,5.02,2.00,0.9952,19,0,1.00,None,1,0.00,0.00,0.00
154,5.44,-114.01,5.02,2.00,0.9952,19,0,1.00,None,1,0.00,0.00,0.00
155,5.44,-114.01,5.02,2.00,0.9952,19,0,1.00,None,1,0.00,0.00,0.00
156,5.44,-114.01,5.02,2.00,0.9952,19,0,1.00,None,1,0.00,0.00,0.00
157,5.39,-113.88,5.03,2.00,0.9952,19,0,1.00,None,1,0.00,0.00,0.00
158,5.39,-113.88,5.03,2.00,0.9952,19,0,1.00,None,1,0.00,0.00,0.00
159,5.39,-113.88,5.03,2.00,0.9952,19,0,1.00,None,1,0.00,0.00,0.00
160,5.34,-113.76,5.03,2.00,0.9952,19,0,1.00,None,1,0.00,0.00,0.00
161,5.34,-113.76,5.03,2.00,0.9952,19,0,1.00,None,1,0.00,0.00,0.00
162,5.34,-113.76,5.03,2.00,0.9952,19,0,1.00,None,1,0.00,0.00,0.00
163,5.29,-113.64,5.03,2.00,0.9951,19,0,1.00,None,1,0.00,0.00,0.00
164,5.29,-113.64,5.03,2.00,0.9951,19,0,1.00,None,1,0.00,0.00,0.00
165,5.29,-113.64,5.03,2.00,0.9951,19,0,1.00,None,1,0.00,0.00,0.00
166,5.29,-113.64,5.03,2.00,0.9951,19,0,1.00,None,1,0.00,0.00,0.00
167,5.24,-113.52,5.03,2.00,0.9951,19,0,1.00,None,1,0.00,0.00,0.00
168,5.24,-113.52,5.03,2.00,0.9951,19,0,1.00,None,1,0.00,0.00,0.00
169,5.24,-113.52,5.03,2.00,0.9951,19,0,1.00,None,1,0.00,0.00,0.00
170,5.19,-113.39,5.03,2.00,0.9951,19,0,1.00,None,1,0.00,0.00,0.00
171,5.19,-113.39,5.03,2.00,0.9951,19,0,1.00,None,1,0.00,0.00,0.00
172,5.19,-113.39,5.03,2.00,0.9951,19,0,1.00,None,1,0.00,0.00,0.00
173,5.14,-113.27,5.03,2.00,0.9950,19,0,1.00,None,1,0.00,0.00,0.00
174,5.14,-113.27,5.03,2.00,0.9950,19,0,1.00,None,1,0.00,0.00,0.00
175,5.14,-113.27,5.03,2.00,0.9950,19,0,1.00,None,1,0.00,0.00,0.00
176,5.14,-113.27,5.03,2.00,0.9950,19,0,1.00,None,1,0.00,0.00,0.00
177,5.09,-113.15,5.03,2.00,0.9950,19,0,1.00,None,1,0.00,0.00,0.00
178,5.09,-113.15,5.03,2.00,0.9950,19,0,1.00,None,1,0.00,0.00,0.00
179,5.09,-113.15,5.03,2.00,0.9950,19,0,1.00,None,1,0.00,0.00,0.00
180,5.04,-113.03,5.03,2.00,0.9950,19,0,1.00,None,1,0.00,0.00,0.00
181,5.04,-113.03,5.03,2.00,0.9950,19,0,1.00,None,1,0.00,0.00,0.00
182,5.04,-113.03,5.03,2.00,0.9950,19,0,1.00,None,1,0.00,0.00,0.00
183,4.99,-112.90,5.03,2.00,0.9949,19,0,1.00,None,1,0.00,0.00,0.00
184,4.99,-112.90,5.03,2.00,0.9949,19,0,1.00,None,1,0.00,0.00,0.00
185,4.99,-112.90,5.03,2.00,0.9949,19,0,1.00,None,1,0.00,0.00,0.00
186,4.94,-112.78,5.03,2.00,0.9949,19,0,1.00,None,1,0.00,0.00,0.00
187,4.94,-112.78,5.03,2.00,0.9949,19,0,1.00,None,1,0.00,0.00,0.00
188,4.94,-112.78,5.03,2.00,0.9949,19,0,1.00,None,1,0.00,0.00,0.00
189,4.94,-112.78,5.03,2.00,0.9949,19,0,1.00,None,1,0.00,0.00,0.00
190,4.94,-112.78,5.03,2.00,0.9949,19,0,1.00,None,1,0.00,0.00,0.00
191,4.94,-112.78,5.03,2.00,0.9949,19,0,1.00,None,1,0.00,0.00,0.00
192,4.86,-112.59,5.03,2.00,0.9948,19,0,1.00,None,1,0.00,0.00,0.00
193,4.86,-112.59,5.03,2.00,0.9948,19,0,1.00,None,1,0.00,0.00,0.00
194,4.86,-112.59,5.03,2.00,0.9948,19,0,1.00,None,1,0.00,0.00,0.00
195,4.82,-112.47,5.03,2.00,0.9948,19,0,1.00,None,1,0.00,0.00,0.00
196,4.82,-112.47,5.03,2.00,0.9948,19,0,1.00,None,1,0.00,0.00,0.00
197,4.82,-112.47,5.03,2.00,0.9948,19,0,1.00,None,1,0.00,0.00,0.00
198,4.76,-112.34,5.03,2.00,0.9947,19,0,1.00,None,1,0.00,0.00,0.00
199,4.76,-112.34,5.03,2.00,0.9947,19,0,1.00,None,1,0.00,0.00,0.00
200,4.76,-112.34,5.03,2.00,0.9947,19,0,1.00,None,1,0.00,0.00,0.00
201,4.72,-112.22,5.03,2.00,0.9947,19,0,1.00,None,1,0.00,0.00,0.00
202,4.72,-112.22,5.03,2.00,0.9947,19,0,1.00,None,1,0.00,0.00,0.00
203,4.69,-112.17,5.03,2.00,0.9947,19,0,1.00,None,1,0.00,0.00,0.00
204,4.69,-112.17,5.03,2.00,0.9947,19,0,1.00,None,1,0.00,0.00,0.00
205,4.69,-112.17,5.03,2.00,0.9947,19,0,1.00,None,1,0.00,0.00,0.00
206,4.64,-112.05,5.03,2.00,0.9947,19,0,1.00,None,1,0.00,0.00,0.00
207,4.64,-112.05,5.03,2.00,0.9947,19,0,1.00,None,1,0.00,0.00,0.00
208,4.64,-112.05,5.03,2.00,0.9947,19,0,1.00,None,1,0.00,0.00,0.00
209,4.64,-112.05,5.03,2.00,0.9947,19,0,1.00,None,1,0.00,0.00,0.00
210,4.59,-111.92,5.03,2.00,0.9946,19,0,1.00,None,1,0.00,0.00,0.00
211,4.59,-111.92,5.03,2.00,0.9946,19,0,1.00,None,1,0.00,0.00,0.00
212,4.59,-111.92,5.03,2.00,0.9946,19,0,1.00,None,1,0.00,0.00,0.00
213,4.54,-111.79,5.03,2.00,0.9946,19,0,1.00,None,1,0.00,0.00,0.00
214,4.54,-111.79,5.03,2.00,0.9946,19,0,1.00,None,1,0.00,0.00,0.00
215,4.54,-111.79,5.03,2.00,0.9946,19,0,1.00,None,1,0.00,0.00,0.00
216,4.54,-111.79,5.03,2.00,0.9946,19,0,1.00,None,1,0.00,0.00,0.00
217,4.54,-111.79,5.03,2.00,0.9946,19,0,1.00,None,1,0.00,0.00,0.00
218,4.46,-111.60,5.03,2.00,0.9945,19,0,1.00,None,1,0.00,0.00,0.00
219,4.46,-111.60,5.03,2.00,0.9945,19,0,1.00,None,1,0.00,0.00,0.00
220,4.46,-111.60,5.03,2.00,0.9945,19,0,1.00,None,1,0.00,0.00,0.00
221,4.46,-111.60,5.03,2.00,0.9945,19,0,1.00,None,1,0.00,0.00,0.00
222,4.41,-111.48,5.03,2.00,0.9945,19,0,1.00,None,1,0.00,0.00,0.00
223,4.41,-111.48,5.03,2.00,0.9945,19,0,1.00,None,1,0.00,0.00,0.00
224,4.41,-111.48,5.03,2.00,0.9945,19,0,1.00,None,1,0.00,0.00,0.00
225,4.36,-111.35,5.03,2.00,0.9945,19,0,1.00,None,1,0.00,0.00,0.00
226,4.36,-111.35,5.03,2.00,0.9945,19,0,1.00,None,1,0.00,0.00,0.00
227,4.36,-111.35,5.03,2.00,0.9945,19,0,1.00,None,1,0.00,0.00,0.00
228,4.31,-111.23,5.03,2.00,0.9944,19,0,1.00,None,1,0.00,0.00,0.00
229,4.31,-111.23,5.03,2.00,0.9944,19,0,1.00,None,1,0.00,0.00,0.00
230,4.31,-111.23,5.03,2.00,0.9944,19,0,1.00,None,1,0.00,0.00,0.00
231,4.31,-111.23,5.03,2.00,0.9944,19,0,1.00,None,1,0.00,0.00,0.00
232,4.26,-111.11,5.03,2.00,0.9944,19,0,1.00,None,1,0.00,0.00,0.00
233,4.26,-111.11,5.03,2.00,0.9944,19,0,1.00,None,1,0.00,0.00,0.00
234,4.26,-111.11,5.03,2.00,0.9944,19,0,1.00,None,1,0.00,0.00,0.00
235,4.21,-110.98,5.03,2.00,0.9943,19,0,1.00,None,1,0.00,0.00,0.00
236,4.21,-110.98,5.03,2.00,0.9943,19,0,1.00,None,1,0.00,0.00,0.00
237,4.21,-110.98,5.03,2.00,0.9943,19,0,1.00,None,1,0.00,0.00,0.00
238,4.17,-110.86,5.03,2.00,0.9943,19,0,1.00,None,1,0.00,0.00,0.00
239,4.17,-110.86,5.03,2.00,0.9943,19,0,1.00,None,1,0.00,0.00,0.00
240,4.17,-110.86,5.03,2.00,0.9943,19,0,1.00,None,1,0.00,0.00,0.00
241,4.12,-110.75,5.03,2.00,0.9943,19,0,1.00,None,1,0.00,0.00,0.00
242,4.12,-110.75,5.03,2.00,0.9943,19,0,1.00,None,1,0.00,0.00,0.00
243,4.10,-110.69,5.03,2.00,0.9943,19,0,1.00,None,1,0.00,0.00,0.00
244,4.10,-110.69,5.03,2.00,0.9943,19,0,1.00,None,1,0.00,0.00,0.00
245,4.10,-110.69,5.03,2.00,0.9943,19,0,1.00,None,1,0.00,0.00,0.00
246,4.10,-110.69,5.03,2.00,0.9943,19,0,1.00,None,1,0.00,0.00,0.00
247,4.10,-110.69,5.03,2.00,0.9943,19,0,1.00,None,1,0.00,0.00,0.00
248,4.02,-110.50,5.04,2.00,0.9942,19,0,1.00,None,1,0.00,0.00,0.00
249,4.02,-110.50,5.04,2.00,0.9942,19,0,1.00,None,1,0.00,0.00,0.00
250,4.02,-110.50,5.04,2.00,0.9942,19,0,1.00,None,1,0.00,0.00,0.00
251,3.97,-110.37,5.04,2.00,0.9942,19,0,1.00,None,1,0.00,0.00,0.00
252,3.97,-110.37,5.04,2.00,0.9942,19,0,1.00,None,1,0.00,0.00,0.00
253,3.97,-110.37,5.04,2.00,0.9942,19,0,1.00,None,1,0.00,0.00,0.00
254,3.92,-110.26,5.04,2.00,0.9941,19,0,1.00,None,1,0.00,0.00,0.00
255,3.92,-110.26,5.04,2.00,0.9941,19,0,1.00,None,1,0.00,0.00,0.00
256,3.90,-110.20,5.04,2.00,0.9941,19,0,1.00,None,1,0.00,0.00,0.00
257,3.90,-110.20,5.04,2.00,0.9941,19,0,1.00,None,1,0.00,0.00,0.00
258,3.90,-110.20,5.04,2.00,0.9941,19,0,1.00,None,1,0.00,0.00,0.00
259,3.90,-110.20,5.04,2.00,0.9941,19,0,1.00,None,1,0.00,0.00,0.00
260,3.90,-110.20,5.04,2.00,0.9941,19,0,1.00,None,1,0.00,0.00,0.00
261,3.82,-110.01,5.04,2.00,0.9940,19,0,1.00,None,1,0.00,0.00,0.00
262,3.82,-110.01,5.04,2.00,0.9940,19,0,1.00,None,1,0.00,0.00,0.00
263,3.82,-110.01,5.04,2.00,0.9940,19,0,1.00,None,1,0.00,0.00,0.00
264,3.82,-110.01,5.04,2.00,0.9940,19,0,1.00,None,1,0.00,0.00,0.00
265,3.77,-109.88,5.04,2.00,0.9940,19,0,1.00,None,1,0.00,0.00,0.00
266,3.77,-109.88,5.04,2.00,0.9940,19,0,1.00,None,1,0.00,0.00,0.00
267,3.77,-109.88,5.04,2.00,0.9940,19,0,1.00,None,1,0.00,0.00,0.00
268,3.72,-109.76,5.04,2.00,0.9940,19,0,1.00,None,1,0.00,0.00,0.00
269,3.70,-109.71,5.04,2.00,0.9940,19,0,1.00,None,1,0.00,0.00,0.00
270,3.70,-109.71,5.04,2.00,0.9940,19,0,1.00,None,1,0.00,0.00,0.00
271,3.70,-109.71,5.04,2.00,0.9940,19,0,1.00,None,1,0.00,0.00,0.00
272,3.70,-109.71,5.04,2.00,0.9940,19,0,1.00,None,1,0.00,0.00,0.00
273,3.65,-109.59,5.04,2.00,0.9939,19,0,1.00,None,1,0.00,0.00,0.00
274,3.65,-109.59,5.04,2.00,0.9939,19,0,1.00,None,1,0.00,0.00,0.00
275,3.65,-109.59,5.04,2.00,0.9939,19,0,1.00,None,1,0.00,0.00,0.00
276,3.60,-109.46,5.04,2.00,0.9939,19,0,1.00,None,1,0.00,0.00,0.00
277,3.60,-109.46,5.04,2.00,0.9939,19,0,1.00,None,1,0.00,0.00,0.00
278,3.60,-109.46,5.04,2.00,0.9939,19,0,1.00,None,1,0.00,0.00,0.00
279,3.60,-109.46,5.04,2.00,0.9939,19,0,1.00,None,1,0.00,0.00,0.00
280,3.60,-109.46,5.04,2.00,0.9939,19,0,1.00,None,1,0.00,0.00,0.00
281,3.52,-109.27,5.04,2.00,0.9938,19,0,1.00,None,1,0.00,0.00,0.00
282,3.52,-109.27,5.04,2.00,0.9938,19,0,1.00,None,1,0.00,0.00,0.00
283,3.52,-109.27,5.04,2.00,0.9938,19,0,1.00,None,1,0.00,0.00,0.00
284,3.47,-109.14,5.04,2.00,0.9938,19,0,1.00,None,1,0.00,0.00,0.00
285,3.47,-109.14,5.04,2.00,0.9938,19,0,1.00,None,1,0.00,0.00,0.00
286,3.47,-109.14,5.04,2.00,0.9938,19,0,1.00,None,1,0.00,0.00,0.00
287,3.47,-109.14,5.04,2.00,0.9938,19,0,1.00,None,1,0.00,0.00,0.00
288,3.42,-109.03,5.04,2.00,0.9938,19,0,1.00,None,1,0.00,0.00,0.00
289,3.40,-108.97,5.04,2.00,0.9937,19,0,1.00,None,1,0.00,0.00,0.00
290,3.40,-108.97,5.04,2.00,0.9937,19,0,1.00,None,1,0.00,0.00,0.00
