t,p_t_x,p_t_y,h_t,v_t,e_t,|A_t|,|M_t|,Pi
92,6.34,-116.23,5.02,2.00,0.9969,19,0,None
93,6.28,-116.10,5.02,2.00,0.9969,19,0,None
94,6.28,-116.10,5.02,2.00,0.9969,19,0,None
95,6.28,-116.10,5.02,2.00,0.9969,19,0,None
96,6.24,-115.98,5.02,2.00,0.9969,19,0,None
97,6.24,-115.98,5.02,2.00,0.9969,19,0,None
98,6.24,-115.98,5.02,2.00,0.9969,19,0,None
99,6.24,-115.98,5.02,2.00,0.9969,19,0,None
100,6.18,-115.84,5.02,2.00,0.9968,19,0,None
101,6.18,-115.84,5.02,2.00,0.9968,19,0,None
102,6.18,-115.84,5.02,2.00,0.9968,19,0,None
103,6.12,-115.71,5.02,2.00,0.9968,19,0,None
104,6.12,-115.71,5.02,2.00,0.9968,19,0,None
105,6.12,-115.71,5.02,2.00,0.9968,19,0,None
106,6.12,-115.71,5.02,2.00,0.9968,19,0,None
107,6.07,-115.58,5.02,2.00,0.9967,19,0,None
108,6.07,-115.58,5.02,2.00,0.9967,19,0,None
109,6.07,-115.58,5.02,2.00,0.9967,19,0,None
110,6.02,-115.44,5.02,2.00,0.9967,19,0,None
111,6.02,-115.44,5.02,2.00,0.9967,19,0,None
112,6.02,-115.44,5.02,2.00,0.9967,19,0,None
113,6.02,-115.44,5.02,2.00,0.9967,19,0,None
114,5.97,-115.32,5.02,2.00,0.9967,19,0,None
115,5.97,-115.32,5.02,2.00,0.9967,19,0,None
116,5.97,-115.32,5.02,2.00,0.9967,19,0,None
117,5.97,-115.32,5.02,2.00,0.9967,19,0,None
118,5.91,-115.18,5.02,2.00,0.9966,19,0,None
119,5.91,-115.18,5.02,2.00,0.9966,19,0,None
120,5.91,-115.18,5.02,2.00,0.9966,19,0,None
121,5.86,-115.06,5.02,2.00,0.9966,19,0,None
122,5.86,-115.06,5.02,2.00,0.9966,19,0,None
123,5.84,-115.00,5.02,2.00,0.9966,19,0,None
124,5.84,-115.00,5.02,2.00,0.9966,19,0,None
125,5.84,-115.00,5.02,2.00,0.9966,19,0,None
126,5.78,-114.86,5.02,2.00,0.9965,19,0,None
127,5.78,-114.86,5.02,2.00,0.9965,19,0,None
128,5.78,-114.86,5.02,2.00,0.9965,19,0,None
129,5.78,-114.86,5.02,2.00,0.9965,19,0,None
130,5.73,-114.73,5.02,2.00,0.9965,19,0,None
131,5.73,-114.73,5.02,2.00,0.9965,19,0,None
132,5.73,-114.73,5.02,2.00,0.9965,19,0,None
133,5.68,-114.60,5.02,2.00,0.9965,19,0,None
134,5.68,-114.60,5.02,2.00,0.9965,19,0,None
135,5.68,-114.60,5.02,2.00,0.9965,19,0,None
136,5.68,-114.60,5.02,2.00,0.9965,19,0,None
137,5.62,-114.47,5.02,2.00,0.9964,19,0,None
138,5.62,-114.47,5.02,2.00,0.9964,19,0,None
139,5.62,-114.47,5.02,2.00,0.9964,19,0,None
140,5.62,-114.47,5.02,2.00,0.9964,19,0,None
141,5.62,-114.47,5.02,2.00,0.9964,19,0,None
142,5.62,-114.47,5.02,2.00,0.9964,19,0,None
143,5.54,-114.25,5.02,2.00,0.9964,19,0,None
144,5.54,-114.25,5.02,2.00,0.9964,19,0,None
145,5.54,-114.25,5.02,2.00,0.9964,19,0,None
146,5.49,-114.14,5.02,2.00,0.9963,19,0,None
147,5.46,-114.07,5.02,2.00,0.9963,19,0,None
148,5.46,-114.07,5.02,2.00,0.9963,19,0,None
149,5.46,-114.07,5.02,2.00,0.9963,19,0,None
150,5.46,-114.07,5.02,2.00,0.9963,19,0,None
151,5.41,-113.94,5.03,2.00,0.9963,19,0,None
152,5.41,-113.94,5.03,2.00,0.9963,19,0,None
153,5.41,-113.94,5.03,2.00,0.9963,19,0,None
154,5.41,-113.94,5.03,2.00,0.9963,19,0,None
155,5.36,-113.81,5.03,2.00,0.9962,19,0,None
156,5.36,-113.81,5.03,2.00,0.9962,19,0,None
157,5.36,-113.81,5.03,2.00,0.9962,19,0,None
158,5.36,-113.81,5.03,2.00,0.9962,19,0,None
159,5.36,-113.81,5.03,2.00,0.9962,19,0,None
160,5.27,-113.60,5.03,2.00,0.9962,19,0,None
161,5.27,-113.60,5.03,2.00,0.9962,19,0,None
162,5.27,-113.60,5.03,2.00,0.9962,19,0,None
163,5.27,-113.60,5.03,2.00,0.9962,19,0,None
164,5.21,-113.46,5.03,2.00,0.9961,19,0,None
165,5.21,-113.46,5.03,2.00,0.9961,19,0,None
166,5.21,-113.46,5.03,2.00,0.9961,19,0,None
167,5.21,-113.46,5.03,2.00,0.9961,19,0,None
168,5.21,-113.46,5.03,2.00,0.9961,19,0,None
169,5.21,-113.46,5.03,2.00,0.9961,19,0,None
170,5.21,-113.46,5.03,2.00,0.9961,19,0,None
171,5.21,-113.46,5.03,2.00,0.9961,19,0,None
172,5.21,-113.46,5.03,2.00,0.9961,19,0,None
173,5.21,-113.46,5.03,2.00,0.9961,19,0,None
174,5.21,-113.46,5.03,2.00,0.9961,19,0,None
175,5.21,-113.46,5.03,2.00,0.9961,19,0,None
176,5.21,-113.46,5.03,2.00,0.9961,19,0,None
177,5.21,-113.46,5.03,2.00,0.9961,19,0,None
178,5.21,-113.46,5.03,2.00,0.9961,19,0,None
179,5.21,-113.46,5.03,2.00,0.9961,19,0,None
180,5.21,-113.46,5.03,2.00,0.9961,19,0,None
181,4.96,-112.84,5.03,2.00,0.9959,19,0,None
182,4.96,-112.84,5.03,2.00,0.9959,19,0,None
183,4.96,-112.84,5.03,2.00,0.9959,19,0,None
184,4.96,-112.84,5.03,2.00,0.9959,19,0,None
185,4.96,-112.84,5.03,2.00,0.9959,19,0,None
186,4.96,-112.84,5.03,2.00,0.9959,19,0,None
187,4.96,-112.84,5.03,2.00,0.9959,19,0,None
188,4.96,-112.84,5.03,2.00,0.9959,19,0,None
189,4.85,-112.55,5.03,2.00,0.9958,19,0,None
190,4.82,-112.48,5.03,2.00,0.9958,19,0,None
191,4.82,-112.48,5.03,2.00,0.9958,19,0,None
192,4.82,-112.48,5.03,2.00,0.9958,19,0,None
193,4.78,-112.38,5.03,2.00,0.9958,19,0,None
194,4.78,-112.38,5.03,2.00,0.9958,19,0,None
195,4.78,-112.38,5.03,2.00,0.9958,19,0,None
196,4.78,-112.38,5.03,2.00,0.9958,19,0,None
197,4.72,-112.24,5.03,2.00,0.9957,19,0,None
198,4.72,-112.24,5.03,2.00,0.9957,19,0,None
