TimeStep,PosX,PosZ,Altitude,Velocity,Battery,TrafficAgentsCount,CurrentPolicy
1,7.56,-119.25,5.01,0.00,0.0000,19,None
2,7.56,-119.25,5.01,0.00,0.0000,19,None
3,7.56,-119.25,5.01,0.00,0.0000,19,None
4,7.56,-119.25,5.01,0.00,0.0000,19,None
5,7.56,-119.25,5.01,0.00,0.0000,19,None
6,7.56,-119.25,5.01,0.00,0.0000,19,None
7,7.56,-119.25,5.01,0.00,0.0000,19,None
8,7.56,-119.25,5.01,0.00,0.0000,19,None
9,7.56,-119.25,5.01,0.00,0.0000,19,None
10,7.53,-119.19,5.01,0.00,0.0000,19,None
11,7.53,-119.19,5.01,0.00,0.0000,19,None
12,7.53,-119.19,5.01,0.00,0.0000,19,None
13,7.49,-119.07,5.01,0.00,0.0000,19,None
14,7.49,-119.07,5.01,0.00,0.0000,19,None
15,7.49,-119.07,5.01,0.00,0.0000,19,None
16,7.49,-119.07,5.01,0.00,0.0000,19,None
17,7.42,-118.91,5.01,0.00,0.0000,19,None
18,7.42,-118.91,5.01,0.00,0.0000,19,None
19,7.42,-118.91,5.01,0.00,0.0000,19,None
20,7.39,-118.83,5.01,0.00,0.0000,19,None
21,7.36,-118.76,5.01,0.00,0.0000,19,None
22,7.36,-118.76,5.01,0.00,0.0000,19,None
23,7.36,-118.76,5.01,0.00,0.0000,19,None
24,7.31,-118.65,5.01,0.00,0.0000,19,None
25,7.31,-118.65,5.01,0.00,0.0000,19,None
26,7.31,-118.65,5.01,0.00,0.0000,19,None
27,7.31,-118.65,5.01,0.00,0.0000,19,None
28,7.31,-118.65,5.01,0.00,0.0000,19,None
29,7.31,-118.65,5.01,0.00,0.0000,19,None
30,7.24,-118.46,5.01,0.00,0.0000,19,None
31,7.24,-118.46,5.01,0.00,0.0000,19,None
32,7.24,-118.46,5.01,0.00,0.0000,19,None
33,7.18,-118.32,5.01,0.00,0.0000,19,None
34,7.18,-118.32,5.01,0.00,0.0000,19,None
35,7.16,-118.26,5.01,0.00,0.0000,19,None
36,7.16,-118.26,5.01,0.00,0.0000,19,None
37,7.16,-118.26,5.01,0.00,0.0000,19,None
38,7.11,-118.15,5.01,0.00,0.0000,19,None
39,7.11,-118.15,5.01,0.00,0.0000,19,None
40,7.11,-118.15,5.01,0.00,0.0000,19,None
41,7.06,-118.02,5.01,0.00,0.0000,19,None
42,7.06,-118.02,5.01,0.00,0.0000,19,None
43,7.06,-118.02,5.01,0.00,0.0000,19,None
44,7.06,-118.02,5.01,0.00,0.0000,19,None
45,7.01,-117.90,5.01,0.00,0.0000,19,None
46,7.01,-117.90,5.01,0.00,0.0000,19,None
47,7.01,-117.90,5.01,0.00,0.0000,19,None
48,6.96,-117.77,5.01,0.00,0.0000,19,None
49,6.96,-117.77,5.01,0.00,0.0000,19,None
50,6.96,-117.77,5.01,0.00,0.0000,19,None
51,6.91,-117.65,5.01,0.00,0.0000,19,None
52,6.91,-117.65,5.01,0.00,0.0000,19,None
53,6.91,-117.65,5.01,0.00,0.0000,19,None
54,6.91,-117.65,5.01,0.00,0.0000,19,None
55,6.86,-117.52,5.01,0.00,0.0000,19,None
56,6.86,-117.52,5.01,0.00,0.0000,19,None
57,6.86,-117.52,5.01,0.00,0.0000,19,None
58,6.81,-117.40,5.02,0.00,0.0000,19,None
59,6.81,-117.40,5.02,0.00,0.0000,19,None
60,6.81,-117.40,5.02,0.00,0.0000,19,None
61,6.81,-117.40,5.02,0.00,0.0000,19,None
62,6.81,-117.40,5.02,0.00,0.0000,19,None
63,6.73,-117.20,5.02,0.00,0.0000,19,None
64,6.73,-117.20,5.02,0.00,0.0000,19,None
65,6.73,-117.20,5.02,0.00,0.0000,19,None
66,6.73,-117.20,5.02,0.00,0.0000,19,None
67,6.68,-117.07,5.02,0.00,0.0000,19,None
68,6.68,-117.07,5.02,0.00,0.0000,19,None
69,6.65,-117.01,5.02,0.00,0.0000,19,None
70,6.65,-117.01,5.02,0.00,0.0000,19,None
71,6.65,-117.01,5.02,0.00,0.0000,19,None
72,6.65,-117.01,5.02,0.00,0.0000,19,None
73,6.65,-117.01,5.02,0.00,0.0000,19,None
74,6.58,-116.83,5.02,0.00,0.0000,19,None
75,6.58,-116.83,5.02,0.00,0.0000,19,None
76,6.58,-116.83,5.02,0.00,0.0000,19,None
77,6.52,-116.70,5.02,0.00,0.0000,19,None
78,6.52,-116.70,5.02,0.00,0.0000,19,None
79,6.50,-116.63,5.02,0.00,0.0000,19,None
80,6.50,-116.63,5.02,0.00,0.0000,19,None
81,6.50,-116.63,5.02,0.00,0.0000,19,None
82,6.45,-116.52,5.02,0.00,0.0000,19,None
83,6.45,-116.52,5.02,0.00,0.0000,19,None
84,6.45,-116.52,5.02,0.00,0.0000,19,None
85,6.40,-116.40,5.02,0.00,0.0000,19,None
86,6.40,-116.40,5.02,0.00,0.0000,19,None
87,6.40,-116.40,5.02,0.00,0.0000,19,None
88,6.40,-116.40,5.02,0.00,0.0000,19,None
89,6.35,-116.27,5.02,0.00,0.0000,19,None
90,6.35,-116.27,5.02,0.00,0.0000,19,None
91,6.35,-116.27,5.02,0.00,0.0000,19,None
92,6.30,-116.15,5.02,0.00,0.0000,19,None
93,6.30,-116.15,5.02,0.00,0.0000,19,None
94,6.30,-116.15,5.02,0.00,0.0000,19,None
95,6.25,-116.02,5.02,0.00,0.0000,19,None
96,6.25,-116.02,5.02,0.00,0.0000,19,None
97,6.25,-116.02,5.02,0.00,0.0000,19,None
98,6.25,-116.02,5.02,0.00,0.0000,19,None
99,6.25,-116.02,5.02,0.00,0.0000,19,None
100,6.25,-116.02,5.02,0.00,0.0000,19,None
101,6.17,-115.82,5.02,0.00,0.0000,19,None
102,6.17,-115.82,5.02,0.00,0.0000,19,None
103,6.17,-115.82,5.02,0.00,0.0000,19,None
104,6.12,-115.69,5.02,0.00,0.0000,19,None
105,6.12,-115.69,5.02,0.00,0.0000,19,None
106,6.12,-115.69,5.02,0.00,0.0000,19,None
107,6.07,-115.57,5.02,0.00,0.0000,19,None
108,6.07,-115.57,5.02,0.00,0.0000,19,None
109,6.07,-115.57,5.02,0.00,0.0000,19,None
110,6.07,-115.57,5.02,0.00,0.0000,19,None
111,6.02,-115.44,5.02,0.00,0.0000,19,None
112,6.02,-115.44,5.02,0.00,0.0000,19,None
113,5.99,-115.38,5.02,0.00,0.0000,19,None
114,5.99,-115.38,5.02,0.00,0.0000,19,None
115,5.99,-115.38,5.02,0.00,0.0000,19,None
116,5.95,-115.27,5.02,0.00,0.0000,19,None
117,5.95,-115.27,5.02,0.00,0.0000,19,None
118,5.95,-115.27,5.02,0.00,0.0000,19,None
119,5.89,-115.14,5.02,0.00,0.0000,19,None
120,5.89,-115.14,5.02,0.00,0.0000,19,None
121,5.89,-115.14,5.02,0.00,0.0000,19,None
122,5.89,-115.14,5.02,0.00,0.0000,19,None
123,5.84,-115.01,5.02,0.00,0.0000,19,None
124,5.84,-115.01,5.02,0.00,0.0000,19,None
125,5.84,-115.01,5.02,0.00,0.0000,19,None
126,5.79,-114.89,5.02,0.00,0.0000,19,None
127,5.79,-114.89,5.02,0.00,0.0000,19,None
128,5.79,-114.89,5.02,0.00,0.0000,19,None
129,5.79,-114.89,5.02,0.00,0.0000,19,None
130,5.79,-114.89,5.02,0.00,0.0000,19,None
131,5.71,-114.68,5.02,0.00,0.0000,19,None
132,5.71,-114.68,5.02,0.00,0.0000,19,None
133,5.71,-114.68,5.02,0.00,0.0000,19,None
134,5.71,-114.68,5.02,0.00,0.0000,19,None
135,5.71,-114.68,5.02,0.00,0.0000,19,None
136,5.64,-114.51,5.02,0.00,0.0000,19,None
137,5.64,-114.51,5.02,0.00,0.0000,19,None
138,5.61,-114.43,5.02,0.00,0.0000,19,None
139,5.61,-114.43,5.02,0.00,0.0000,19,None
140,5.58,-114.37,5.02,0.00,0.0000,19,None
141,5.58,-114.37,5.02,0.00,0.0000,19,None
142,5.58,-114.37,5.02,0.00,0.0000,19,None
143,5.58,-114.37,5.02,0.00,0.0000,19,None
144,5.58,-114.37,5.02,0.00,0.0000,19,None
145,5.51,-114.18,5.02,0.00,0.0000,19,None
146,5.51,-114.18,5.02,0.00,0.0000,19,None
147,5.51,-114.18,5.02,0.00,0.0000,19,None
148,5.45,-114.05,5.02,0.00,0.0000,19,None
149,5.45,-114.05,5.02,0.00,0.0000,19,None
150,5.45,-114.05,5.02,0.00,0.0000,19,None
151,5.41,-113.95,5.03,0.00,0.0000,19,None
152,5.41,-113.95,5.03,0.00,0.0000,19,None
153,5.41,-113.95,5.03,0.00,0.0000,19,None
154,5.41,-113.95,5.03,0.00,0.0000,19,None
155,5.41,-113.95,5.03,0.00,0.0000,19,None
156,5.35,-113.79,5.03,0.00,0.0000,19,None
157,5.35,-113.79,5.03,0.00,0.0000,19,None
158,5.35,-113.79,5.03,0.00,0.0000,19,None
159,5.35,-113.79,5.03,0.00,0.0000,19,None
160,5.28,-113.63,5.03,0.00,0.0000,19,None
161,5.28,-113.63,5.03,0.00,0.0000,19,None
162,5.28,-113.63,5.03,0.00,0.0000,19,None
163,5.23,-113.50,5.03,0.00,0.0000,19,None
164,5.23,-113.50,5.03,0.00,0.0000,19,None
165,5.23,-113.50,5.03,0.00,0.0000,19,None
166,5.20,-113.42,5.03,0.00,0.0000,19,None
167,5.17,-113.35,5.03,0.00,0.0000,19,None
