t,agent_id,y_t_x,y_t_y,nu_t,kappa_i
1,0,-130.51,7.98,0.00,Vehicle
1,1,100.04,36.08,0.00,Vehicle
1,2,-4.68,-118.37,0.00,Vehicle
1,3,11.73,-133.81,0.00,Vehicle
1,4,-97.19,-45.75,0.00,Vehicle
1,5,-7.76,-90.46,0.00,Vehicle
1,6,6.11,-135.92,0.00,Vehicle
1,7,-145.30,3.30,0.00,Vehicle
1,8,-49.81,-105.35,0.00,Pedestrian
1,9,-62.56,-61.07,0.00,Pedestrian
1,10,47.77,-103.74,0.00,Pedestrian
1,11,105.81,96.07,0.00,Pedestrian
1,12,50.64,82.93,0.00,Pedestrian
1,13,15.70,125.06,0.00,Pedestrian
1,14,-55.74,-50.65,0.00,Pedestrian
1,15,-132.18,50.73,0.00,Pedestrian
1,16,104.83,41.32,0.00,Pedestrian
1,17,50.75,84.81,0.00,Pedestrian
1,18,-78.67,-140.77,0.00,Pedestrian
2,0,-130.51,7.98,0.07,Vehicle
2,1,100.04,36.08,0.00,Vehicle
2,2,-4.69,-118.37,0.53,Vehicle
2,3,11.73,-133.80,0.07,Vehicle
2,4,-97.20,-45.75,0.36,Vehicle
2,5,-7.76,-90.46,0.08,Vehicle
2,6,6.21,-135.95,5.10,Vehicle
2,7,-145.31,3.30,0.33,Vehicle
2,8,-49.81,-105.35,0.00,Pedestrian
2,9,-62.56,-61.07,0.00,Pedestrian
2,10,47.77,-103.68,3.04,Pedestrian
2,11,105.70,96.07,5.05,Pedestrian
2,12,50.64,82.93,0.00,Pedestrian
2,13,15.54,125.06,8.05,Pedestrian
2,14,-55.74,-50.65,0.00,Pedestrian
2,15,-132.18,50.73,0.00,Pedestrian
2,16,104.83,41.32,0.00,Pedestrian
2,17,50.75,84.81,0.00,Pedestrian
2,18,-78.67,-140.77,0.00,Pedestrian
3,0,-130.51,7.98,0.04,Vehicle
3,1,100.04,36.08,0.00,Vehicle
3,2,-4.69,-118.37,0.22,Vehicle
3,3,11.73,-133.81,0.14,Vehicle
3,4,-97.20,-45.75,0.22,Vehicle
3,5,-7.76,-90.46,0.02,Vehicle
