t,agent_id,y_t_x,y_t_y,nu_t,kappa_i
3,6,6.24,-135.95,1.55,Vehicle
3,7,-145.31,3.30,0.08,Vehicle
3,8,-49.81,-105.35,0.00,Pedestrian
3,9,-62.56,-61.07,0.00,Pedestrian
3,10,47.77,-103.67,0.61,Pedestrian
3,11,105.68,96.07,1.01,Pedestrian
3,12,50.64,82.93,0.00,Pedestrian
3,13,15.51,125.06,1.61,Pedestrian
3,14,-55.74,-50.65,0.00,Pedestrian
3,15,-132.18,50.73,0.00,Pedestrian
3,16,104.83,41.32,0.00,Pedestrian
3,17,50.75,84.81,0.00,Pedestrian
3,18,-78.67,-140.77,0.00,Pedestrian
4,0,-131.16,7.98,32.93,Vehicle
4,1,100.07,35.43,32.77,Vehicle
4,2,-4.67,-118.11,13.18,Vehicle
4,3,11.73,-133.99,9.03,Vehicle
4,4,-97.20,-45.75,0.23,Vehicle
4,5,-7.78,-91.12,32.99,Vehicle
4,6,6.06,-135.76,13.06,Vehicle
4,7,-145.31,2.97,16.16,Vehicle
4,8,-49.61,-105.35,9.91,Pedestrian
4,9,-62.70,-61.21,9.91,Pedestrian
4,10,47.96,-103.74,9.87,Pedestrian
4,11,105.80,96.22,9.79,Pedestrian
4,12,50.64,83.13,9.91,Pedestrian
4,13,15.70,125.09,9.59,Pedestrian
4,14,-55.54,-50.65,9.91,Pedestrian
4,15,-132.38,50.73,9.91,Pedestrian
4,16,104.90,41.50,9.91,Pedestrian
4,17,50.75,85.01,9.91,Pedestrian
4,18,-78.87,-140.77,9.91,Pedestrian
5,0,-131.16,7.99,0.07,Vehicle
5,1,100.06,35.43,0.00,Vehicle
5,2,-4.68,-118.12,0.54,Vehicle
5,3,11.73,-133.99,0.15,Vehicle
5,4,-97.22,-45.76,0.54,Vehicle
5,5,-7.78,-91.12,0.02,Vehicle
5,6,6.12,-135.76,2.76,Vehicle
5,7,-145.31,2.97,0.20,Vehicle
5,8,-49.61,-105.35,0.00,Pedestrian
5,9,-62.62,-61.21,4.13,Pedestrian
5,10,47.96,-103.68,3.07,Pedestrian
5,11,105.70,96.22,4.99,Pedestrian
5,12,50.64,83.13,0.00,Pedestrian
5,13,15.54,125.09,7.91,Pedestrian
5,14,-55.54,-50.65,0.00,Pedestrian
5,15,-132.38,50.73,0.00,Pedestrian
5,16,104.90,41.50,0.00,Pedestrian
5,17,50.75,85.01,0.00,Pedestrian
5,18,-78.87,-140.77,0.00,Pedestrian
6,0,-131.16,7.99,0.04,Vehicle
6,1,100.07,35.43,0.00,Vehicle
6,2,-4.68,-118.12,0.17,Vehicle
6,3,11.73,-133.99,0.01,Vehicle
6,4,-97.22,-45.76,0.39,Vehicle
6,5,-7.78,-91.12,0.01,Vehicle
6,6,6.24,-135.79,6.30,Vehicle
6,7,-145.32,2.97,0.02,Vehicle
6,8,-49.61,-105.35,0.00,Pedestrian
6,9,-62.60,-61.21,0.83,Pedestrian
6,10,47.96,-103.67,0.61,Pedestrian
6,11,105.68,96.22,1.00,Pedestrian
6,12,50.64,83.13,0.00,Pedestrian
6,13,15.51,125.09,1.58,Pedestrian
6,14,-55.54,-50.65,0.00,Pedestrian
6,15,-132.38,50.73,0.00,Pedestrian
6,16,104.90,41.50,0.00,Pedestrian
6,17,50.75,85.01,0.00,Pedestrian
6,18,-78.87,-140.77,0.00,Pedestrian
7,0,-131.83,7.99,33.43,Vehicle
7,1,100.09,34.76,33.28,Vehicle
7,2,-4.66,-117.85,13.40,Vehicle
7,3,11.74,-134.22,11.70,Vehicle
7,4,-97.23,-45.76,0.41,Vehicle
7,5,-7.79,-91.79,33.49,Vehicle
7,6,6.09,-135.59,12.18,Vehicle
7,7,-145.31,2.61,18.13,Vehicle
7,8,-49.41,-105.35,10.06,Pedestrian
7,9,-62.56,-61.01,10.09,Pedestrian
7,10,48.14,-103.74,10.01,Pedestrian
7,11,105.81,96.38,9.94,Pedestrian
7,12,50.64,83.33,10.06,Pedestrian
7,13,15.70,125.12,9.75,Pedestrian
7,14,-55.34,-50.66,10.06,Pedestrian
7,15,-132.58,50.73,10.06,Pedestrian
7,16,104.97,41.69,10.06,Pedestrian
7,17,50.75,85.21,10.06,Pedestrian
7,18,-79.07,-140.77,10.06,Pedestrian
8,0,-131.83,7.99,0.07,Vehicle
8,1,100.09,34.76,0.00,Vehicle
8,2,-4.67,-117.86,0.54,Vehicle
8,3,11.74,-134.22,0.17,Vehicle
8,4,-97.25,-45.76,0.75,Vehicle
8,5,-7.79,-91.79,0.02,Vehicle
8,6,6.12,-135.59,1.45,Vehicle
8,7,-145.32,2.61,0.20,Vehicle
8,8,-49.41,-105.35,0.00,Pedestrian
8,9,-62.56,-61.01,0.00,Pedestrian
8,10,48.14,-103.68,3.05,Pedestrian
8,11,105.71,96.38,5.07,Pedestrian
8,12,50.64,83.33,0.00,Pedestrian
8,13,15.54,125.12,8.04,Pedestrian
8,14,-55.34,-50.66,0.00,Pedestrian
8,15,-132.58,50.73,0.00,Pedestrian
8,16,104.97,41.69,0.00,Pedestrian
8,17,50.75,85.21,0.00,Pedestrian
8,18,-79.07,-140.77,0.00,Pedestrian
9,0,-131.83,7.99,0.04,Vehicle
9,1,100.09,34.76,0.00,Vehicle
9,2,-4.67,-117.86,0.18,Vehicle
9,3,11.75,-134.22,0.18,Vehicle
9,4,-97.26,-45.76,0.57,Vehicle
9,5,-7.79,-91.79,0.01,Vehicle
9,6,6.23,-135.62,5.89,Vehicle
9,7,-145.32,2.61,0.02,Vehicle
9,8,-49.41,-105.35,0.00,Pedestrian
9,9,-62.56,-61.01,0.00,Pedestrian
9,10,48.14,-103.67,0.61,Pedestrian
9,11,105.68,96.38,1.01,Pedestrian
9,12,50.64,83.33,0.00,Pedestrian
9,13,15.51,125.12,1.61,Pedestrian
9,14,-55.34,-50.66,0.00,Pedestrian
9,15,-132.58,50.73,0.00,Pedestrian
9,16,104.97,41.69,0.00,Pedestrian
9,17,50.75,85.21,0.00,Pedestrian
9,18,-79.07,-140.77,0.00,Pedestrian
10,0,-131.83,7.99,0.01,Vehicle
10,1,100.09,34.76,0.00,Vehicle
10,2,-4.67,-117.86,0.06,Vehicle
10,3,11.75,-134.22,0.14,Vehicle
10,4,-97.26,-45.75,0.21,Vehicle
10,5,-7.79,-91.79,0.00,Vehicle
10,6,6.29,-135.62,2.61,Vehicle
10,7,-145.32,2.61,0.02,Vehicle
10,8,-49.41,-105.35,0.00,Pedestrian
10,9,-62.56,-61.01,0.00,Pedestrian
10,10,48.14,-103.67,0.12,Pedestrian
10,11,105.68,96.38,0.20,Pedestrian
10,12,50.64,83.33,0.00,Pedestrian
10,13,15.50,125.12,0.32,Pedestrian
10,14,-55.34,-50.66,0.00,Pedestrian
10,15,-132.58,50.73,0.00,Pedestrian
10,16,104.97,41.69,0.00,Pedestrian
10,17,50.75,85.21,0.00,Pedestrian
10,18,-79.07,-140.77,0.00,Pedestrian
11,0,-132.50,7.99,33.55,Vehicle
11,1,100.12,34.10,33.41,Vehicle
11,2,-4.65,-117.59,13.45,Vehicle
11,3,11.76,-134.49,13.84,Vehicle
11,4,-97.26,-45.75,0.07,Vehicle
11,5,-7.81,-92.46,33.60,Vehicle
11,6,6.15,-135.43,11.56,Vehicle
11,7,-145.32,2.22,19.75,Vehicle
11,8,-49.21,-105.35,10.09,Pedestrian
11,9,-62.70,-61.15,10.09,Pedestrian
11,10,48.33,-103.74,10.08,Pedestrian
11,11,105.81,96.54,10.07,Pedestrian
11,12,50.64,83.53,10.09,Pedestrian
11,13,15.70,125.15,10.03,Pedestrian
11,14,-55.14,-50.66,10.09,Pedestrian
11,15,-132.78,50.73,10.09,Pedestrian
11,16,105.04,41.88,10.09,Pedestrian
11,17,50.75,85.41,10.09,Pedestrian
11,18,-79.28,-140.77,10.09,Pedestrian
12,0,-132.50,7.99,0.07,Vehicle
12,1,100.12,34.10,0.00,Vehicle
12,2,-4.66,-117.59,0.55,Vehicle
12,3,11.75,-134.49,0.27,Vehicle
12,4,-97.27,-45.75,0.39,Vehicle
12,5,-7.81,-92.46,0.02,Vehicle
12,6,6.24,-135.45,4.37,Vehicle
12,7,-145.32,2.22,0.21,Vehicle
12,8,-49.21,-105.35,0.00,Pedestrian
12,9,-62.62,-61.15,4.15,Pedestrian
12,10,48.33,-103.68,3.12,Pedestrian
12,11,105.71,96.54,5.07,Pedestrian
12,12,50.64,83.53,0.00,Pedestrian
12,13,15.54,125.15,8.00,Pedestrian
12,14,-55.14,-50.66,0.00,Pedestrian
12,15,-132.78,50.73,0.00,Pedestrian
12,16,105.04,41.88,0.00,Pedestrian
12,17,50.75,85.41,0.00,Pedestrian
12,18,-79.28,-140.77,0.00,Pedestrian
13,0,-132.50,7.99,0.04,Vehicle
13,1,100.12,34.10,0.00,Vehicle
13,2,-4.66,-117.60,0.16,Vehicle
13,3,11.75,-134.49,0.13,Vehicle
13,4,-97.28,-45.76,0.21,Vehicle
13,5,-7.81,-92.46,0.01,Vehicle
13,6,6.29,-135.46,2.61,Vehicle
13,7,-145.32,2.22,0.04,Vehicle
13,8,-49.21,-105.35,0.00,Pedestrian
13,9,-62.60,-61.15,0.83,Pedestrian
13,10,48.33,-103.67,0.62,Pedestrian
13,11,105.68,96.54,1.01,Pedestrian
13,12,50.64,83.53,0.00,Pedestrian
13,13,15.51,125.15,1.60,Pedestrian
13,14,-55.14,-50.66,0.00,Pedestrian
13,15,-132.78,50.73,0.00,Pedestrian
13,16,105.04,41.88,0.00,Pedestrian
13,17,50.75,85.41,0.00,Pedestrian
13,18,-79.28,-140.77,0.00,Pedestrian
14,0,-132.50,7.99,0.01,Vehicle
14,1,100.12,34.10,0.00,Vehicle
14,2,-4.66,-117.60,0.06,Vehicle
14,3,11.75,-134.49,0.11,Vehicle
14,4,-97.28,-45.76,0.22,Vehicle
14,5,-7.81,-92.46,0.01,Vehicle
14,6,6.34,-135.46,2.61,Vehicle
14,7,-145.32,2.22,0.02,Vehicle
14,8,-49.21,-105.35,0.00,Pedestrian
14,9,-62.60,-61.15,0.17,Pedestrian
14,10,48.33,-103.67,0.12,Pedestrian
14,11,105.68,96.54,0.20,Pedestrian
14,12,50.64,83.53,0.00,Pedestrian
14,13,15.50,125.15,0.32,Pedestrian
14,14,-55.14,-50.66,0.00,Pedestrian
14,15,-132.78,50.73,0.00,Pedestrian
14,16,105.04,41.88,0.00,Pedestrian
14,17,50.75,85.41,0.00,Pedestrian
14,18,-79.28,-140.77,0.00,Pedestrian
15,0,-132.50,7.99,0.01,Vehicle
15,1,100.12,34.10,0.00,Vehicle
15,2,-4.66,-117.60,0.00,Vehicle
15,3,11.76,-134.49,0.59,Vehicle
15,4,-97.28,-45.76,0.27,Vehicle
15,5,-7.81,-92.46,0.00,Vehicle
15,6,6.33,-135.45,0.69,Vehicle
15,7,-145.32,2.22,0.01,Vehicle
15,8,-49.21,-105.35,0.00,Pedestrian
15,9,-62.60,-61.15,0.03,Pedestrian
15,10,48.33,-103.67,0.02,Pedestrian
15,11,105.68,96.54,0.04,Pedestrian
15,12,50.64,83.53,0.00,Pedestrian
15,13,15.50,125.15,0.06,Pedestrian
15,14,-55.14,-50.66,0.00,Pedestrian
15,15,-132.78,50.73,0.00,Pedestrian
15,16,105.04,41.88,0.00,Pedestrian
15,17,50.75,85.41,0.00,Pedestrian
15,18,-79.28,-140.77,0.00,Pedestrian
16,0,-132.50,7.99,0.00,Vehicle
16,1,100.12,34.10,0.00,Vehicle
16,2,-4.66,-117.60,0.02,Vehicle
16,3,11.76,-134.48,0.13,Vehicle
16,4,-97.29,-45.76,0.16,Vehicle
16,5,-7.81,-92.46,0.00,Vehicle
16,6,6.32,-135.44,0.87,Vehicle
16,7,-145.32,2.22,0.01,Vehicle
16,8,-49.21,-105.35,0.00,Pedestrian
16,9,-62.60,-61.15,0.01,Pedestrian
16,10,48.33,-103.67,0.00,Pedestrian
16,11,105.68,96.54,0.01,Pedestrian
16,12,50.64,83.53,0.00,Pedestrian
16,13,15.50,125.15,0.01,Pedestrian
16,14,-55.14,-50.66,0.00,Pedestrian
16,15,-132.78,50.73,0.00,Pedestrian
16,16,105.04,41.88,0.00,Pedestrian
16,17,50.75,85.41,0.00,Pedestrian
16,18,-79.28,-140.77,0.00,Pedestrian
17,0,-133.50,7.99,50.00,Vehicle
17,1,100.16,33.10,50.00,Vehicle
17,2,-4.62,-117.07,26.31,Vehicle
17,3,11.78,-135.18,34.58,Vehicle
17,4,-97.29,-45.75,0.08,Vehicle
17,5,-7.83,-93.46,50.00,Vehicle
17,6,5.96,-135.03,27.14,Vehicle
17,7,-145.32,1.34,43.95,Vehicle
17,8,-48.81,-105.35,19.73,Pedestrian
17,9,-62.52,-60.77,19.73,Pedestrian
17,10,48.69,-103.82,19.73,Pedestrian
17,11,105.93,96.84,19.73,Pedestrian
17,12,50.64,83.93,19.73,Pedestrian
17,13,15.89,125.20,19.72,Pedestrian
17,14,-54.75,-50.66,19.73,Pedestrian
17,15,-133.18,50.73,19.73,Pedestrian
17,16,105.18,42.25,19.73,Pedestrian
17,17,50.75,85.81,19.73,Pedestrian
17,18,-79.67,-140.77,19.73,Pedestrian
18,0,-133.50,8.00,0.15,Vehicle
18,1,100.16,33.10,0.00,Vehicle
18,2,-4.64,-117.08,0.88,Vehicle
18,3,11.77,-135.17,0.74,Vehicle
18,4,-97.30,-45.75,0.70,Vehicle
18,5,-7.83,-93.46,0.01,Vehicle
18,6,6.01,-135.03,2.15,Vehicle
18,7,-145.32,1.34,0.36,Vehicle
18,8,-48.81,-105.35,0.00,Pedestrian
18,9,-62.52,-60.77,0.00,Pedestrian
18,10,48.69,-103.70,5.95,Pedestrian
18,11,105.73,96.84,9.90,Pedestrian
18,12,50.64,83.93,0.00,Pedestrian
18,13,15.69,125.20,10.00,Pedestrian
18,14,-54.75,-50.66,0.00,Pedestrian
18,15,-133.18,50.73,0.00,Pedestrian
18,16,105.18,42.25,0.00,Pedestrian
18,17,50.75,85.81,0.00,Pedestrian
18,18,-79.67,-140.77,0.00,Pedestrian
19,0,-133.50,8.00,0.09,Vehicle
19,1,100.16,33.10,0.00,Vehicle
19,2,-4.64,-117.08,0.37,Vehicle
19,3,11.76,-135.16,0.30,Vehicle
19,4,-97.31,-45.76,0.30,Vehicle
19,5,-7.83,-93.46,0.01,Vehicle
19,6,6.01,-135.03,0.32,Vehicle
19,7,-145.32,1.34,0.10,Vehicle
19,8,-48.81,-105.35,0.00,Pedestrian
19,9,-62.52,-60.77,0.00,Pedestrian
19,10,48.69,-103.67,1.19,Pedestrian
19,11,105.69,96.84,1.98,Pedestrian
19,12,50.64,83.93,0.00,Pedestrian
19,13,15.54,125.20,7.65,Pedestrian
19,14,-54.75,-50.66,0.00,Pedestrian
19,15,-133.18,50.73,0.00,Pedestrian
19,16,105.18,42.25,0.00,Pedestrian
19,17,50.75,85.81,0.00,Pedestrian
19,18,-79.67,-140.77,0.00,Pedestrian
20,0,-133.50,8.00,0.03,Vehicle
20,1,100.16,33.10,0.00,Vehicle
20,2,-4.64,-117.08,0.15,Vehicle
20,3,11.76,-135.16,0.28,Vehicle
20,4,-97.31,-45.76,0.26,Vehicle
20,5,-7.83,-93.46,0.00,Vehicle
20,6,6.01,-135.03,0.23,Vehicle
20,7,-145.32,1.34,0.01,Vehicle
20,8,-48.81,-105.35,0.00,Pedestrian
20,9,-62.52,-60.77,0.00,Pedestrian
20,10,48.69,-103.67,0.24,Pedestrian
20,11,105.68,96.84,0.40,Pedestrian
20,12,50.64,83.93,0.00,Pedestrian
20,13,15.51,125.20,1.53,Pedestrian
20,14,-54.75,-50.66,0.00,Pedestrian
20,15,-133.18,50.73,0.00,Pedestrian
20,16,105.18,42.25,0.00,Pedestrian
20,17,50.75,85.81,0.00,Pedestrian
20,18,-79.67,-140.77,0.00,Pedestrian
21,0,-134.20,8.00,34.83,Vehicle
21,1,100.19,32.40,34.73,Vehicle
21,2,-4.62,-116.81,13.96,Vehicle
21,3,11.77,-135.56,20.11,Vehicle
21,4,-97.32,-45.76,0.30,Vehicle
21,5,-7.84,-94.16,34.87,Vehicle
21,6,6.01,-135.02,0.23,Vehicle
21,7,-145.32,0.85,24.52,Vehicle
21,8,-48.60,-105.35,10.47,Pedestrian
21,9,-62.70,-60.66,10.47,Pedestrian
21,10,48.89,-103.75,10.45,Pedestrian
21,11,105.81,97.01,10.42,Pedestrian
21,12,50.64,84.14,10.47,Pedestrian
21,13,15.71,125.23,10.17,Pedestrian
21,14,-54.54,-50.66,10.47,Pedestrian
21,15,-133.39,50.73,10.47,Pedestrian
21,16,105.19,42.46,10.47,Pedestrian
21,17,50.75,86.02,10.47,Pedestrian
21,18,-79.88,-140.77,10.47,Pedestrian
22,0,-134.20,8.00,0.08,Vehicle
22,1,100.19,32.40,0.00,Vehicle
22,2,-4.63,-116.81,0.45,Vehicle
22,3,11.76,-135.55,0.41,Vehicle
22,4,-97.33,-45.76,0.59,Vehicle
22,5,-7.84,-94.16,0.01,Vehicle
22,6,6.01,-135.02,0.22,Vehicle
22,7,-145.32,0.85,0.17,Vehicle
22,8,-48.60,-105.35,0.00,Pedestrian
22,9,-62.70,-60.66,0.00,Pedestrian
22,10,48.89,-103.68,3.25,Pedestrian
22,11,105.71,97.01,5.29,Pedestrian
22,12,50.64,84.14,0.00,Pedestrian
22,13,15.54,125.23,8.35,Pedestrian
22,14,-54.54,-50.66,0.00,Pedestrian
22,15,-133.39,50.73,0.00,Pedestrian
22,16,105.19,42.46,0.00,Pedestrian
22,17,50.75,86.02,0.00,Pedestrian
22,18,-79.88,-140.77,0.00,Pedestrian
23,0,-134.57,8.00,18.40,Vehicle
23,1,100.20,32.04,18.34,Vehicle
23,2,-4.62,-116.66,7.36,Vehicle
23,3,11.77,-135.78,11.04,Vehicle
23,4,-97.34,-45.76,0.47,Vehicle
23,5,-7.85,-94.53,18.41,Vehicle
23,6,5.92,-134.90,7.45,Vehicle
23,7,-145.32,0.59,13.25,Vehicle
23,8,-48.49,-105.35,5.53,Pedestrian
23,9,-62.80,-60.62,5.53,Pedestrian
23,10,48.99,-103.71,5.32,Pedestrian
23,11,105.75,97.09,4.93,Pedestrian
23,12,50.64,84.25,5.53,Pedestrian
23,13,15.62,125.24,3.88,Pedestrian
23,14,-54.43,-50.66,5.53,Pedestrian
23,15,-133.50,50.73,5.53,Pedestrian
23,16,105.23,42.56,5.53,Pedestrian
23,17,50.75,86.13,5.53,Pedestrian
23,18,-79.99,-140.77,5.53,Pedestrian
24,0,-134.57,8.00,0.05,Vehicle
24,1,100.20,32.04,0.00,Vehicle
24,2,-4.63,-116.66,0.28,Vehicle
24,3,11.76,-135.77,0.28,Vehicle
24,4,-97.35,-45.76,0.62,Vehicle
24,5,-7.85,-94.53,0.01,Vehicle
24,6,5.92,-134.90,0.30,Vehicle
24,7,-145.33,0.59,0.09,Vehicle
24,8,-48.49,-105.35,0.00,Pedestrian
24,9,-62.80,-60.62,0.00,Pedestrian
24,10,48.99,-103.68,1.81,Pedestrian
24,11,105.69,97.09,3.00,Pedestrian
24,12,50.64,84.25,0.00,Pedestrian
24,13,15.52,125.24,4.72,Pedestrian
24,14,-54.43,-50.66,0.00,Pedestrian
24,15,-133.50,50.73,0.00,Pedestrian
24,16,105.23,42.56,0.00,Pedestrian
24,17,50.75,86.13,0.00,Pedestrian
24,18,-79.99,-140.77,0.00,Pedestrian
25,0,-134.57,8.00,0.02,Vehicle
25,1,100.20,32.04,0.00,Vehicle
25,2,-4.63,-116.66,0.08,Vehicle
25,3,11.76,-135.77,0.04,Vehicle
25,4,-97.36,-45.76,0.57,Vehicle
25,5,-7.85,-94.53,0.00,Vehicle
25,6,5.93,-134.90,0.26,Vehicle
25,7,-145.33,0.59,0.02,Vehicle
25,8,-48.49,-105.35,0.00,Pedestrian
25,9,-62.80,-60.62,0.00,Pedestrian
25,10,48.99,-103.67,0.36,Pedestrian
25,11,105.68,97.09,0.60,Pedestrian
25,12,50.64,84.25,0.00,Pedestrian
25,13,15.50,125.24,0.94,Pedestrian
25,14,-54.43,-50.66,0.00,Pedestrian
25,15,-133.50,50.73,0.00,Pedestrian
25,16,105.23,42.56,0.00,Pedestrian
25,17,50.75,86.13,0.00,Pedestrian
25,18,-79.99,-140.77,0.00,Pedestrian
26,0,-135.25,8.00,34.10,Vehicle
26,1,100.23,31.36,34.02,Vehicle
26,2,-4.61,-116.39,13.67,Vehicle
26,3,11.77,-136.21,21.91,Vehicle
26,4,-97.37,-45.75,0.16,Vehicle
26,5,-7.87,-95.21,34.13,Vehicle
26,6,5.74,-134.69,13.72,Vehicle
26,7,-145.32,0.08,25.57,Vehicle
26,8,-48.29,-105.35,10.25,Pedestrian
26,9,-63.01,-60.60,10.25,Pedestrian
26,10,49.18,-103.75,10.22,Pedestrian
26,11,105.81,97.25,10.17,Pedestrian
26,12,50.64,84.45,10.25,Pedestrian
26,13,15.70,125.27,10.06,Pedestrian
26,14,-54.22,-50.66,10.25,Pedestrian
26,15,-133.70,50.73,10.25,Pedestrian
26,16,105.24,42.77,10.25,Pedestrian
26,17,50.75,86.33,10.25,Pedestrian
26,18,-80.20,-140.77,10.25,Pedestrian
27,0,-135.25,8.00,0.07,Vehicle
27,1,100.23,31.36,0.00,Vehicle
27,2,-4.61,-116.39,0.11,Vehicle
27,3,11.76,-136.20,0.52,Vehicle
27,4,-97.38,-45.75,0.45,Vehicle
27,5,-7.87,-95.21,0.01,Vehicle
27,6,5.75,-134.69,0.22,Vehicle
27,7,-145.33,0.08,0.12,Vehicle
27,8,-48.29,-105.35,0.00,Pedestrian
27,9,-63.01,-60.59,0.34,Pedestrian
27,10,49.18,-103.68,3.20,Pedestrian
27,11,105.71,97.25,5.21,Pedestrian
27,12,50.64,84.45,0.00,Pedestrian
27,13,15.54,125.27,8.15,Pedestrian
27,14,-54.22,-50.66,0.00,Pedestrian
27,15,-133.70,50.73,0.00,Pedestrian
27,16,105.24,42.77,0.00,Pedestrian
27,17,50.75,86.33,0.00,Pedestrian
27,18,-80.20,-140.77,0.00,Pedestrian
28,0,-135.60,8.00,17.67,Vehicle
28,1,100.24,31.01,17.63,Vehicle
28,2,-4.62,-116.40,0.38,Vehicle
28,3,11.77,-136.44,11.62,Vehicle
28,4,-97.38,-45.75,0.28,Vehicle
28,5,-7.88,-95.56,17.68,Vehicle
28,6,5.66,-134.58,7.10,Vehicle
28,7,-145.32,-0.19,13.47,Vehicle
28,8,-48.18,-105.35,5.31,Pedestrian
28,9,-63.11,-60.58,5.31,Pedestrian
28,10,49.28,-103.71,5.10,Pedestrian
28,11,105.75,97.33,4.72,Pedestrian
28,12,50.64,84.56,5.31,Pedestrian
28,13,15.61,125.28,3.70,Pedestrian
28,14,-54.11,-50.66,5.31,Pedestrian
28,15,-133.81,50.74,5.31,Pedestrian
28,16,105.27,42.87,5.31,Pedestrian
28,17,50.75,86.44,5.31,Pedestrian
28,18,-80.30,-140.77,5.31,Pedestrian
29,0,-135.60,8.01,0.05,Vehicle
29,1,100.24,31.01,0.00,Vehicle
29,2,-4.62,-116.40,0.17,Vehicle
29,3,11.76,-136.43,0.34,Vehicle
29,4,-97.39,-45.76,0.44,Vehicle
29,5,-7.88,-95.56,0.01,Vehicle
29,6,5.66,-134.58,0.14,Vehicle
29,7,-145.33,-0.19,0.06,Vehicle
29,8,-48.18,-105.35,0.00,Pedestrian
29,9,-63.11,-60.58,0.06,Pedestrian
29,10,49.28,-103.68,1.74,Pedestrian
29,11,105.69,97.33,2.90,Pedestrian
29,12,50.64,84.56,0.00,Pedestrian
29,13,15.52,125.28,4.54,Pedestrian
29,14,-54.11,-50.66,0.00,Pedestrian
29,15,-133.81,50.74,0.00,Pedestrian
29,16,105.27,42.87,0.00,Pedestrian
29,17,50.75,86.44,0.00,Pedestrian
29,18,-80.30,-140.77,0.00,Pedestrian
30,0,-135.60,8.01,0.02,Vehicle
30,1,100.24,31.01,0.00,Vehicle
30,2,-4.62,-116.40,0.06,Vehicle
30,3,11.76,-136.43,0.05,Vehicle
30,4,-97.40,-45.76,0.37,Vehicle
30,5,-7.88,-95.56,0.00,Vehicle
30,6,5.66,-134.58,0.08,Vehicle
30,7,-145.33,-0.19,0.02,Vehicle
30,8,-48.18,-105.35,0.00,Pedestrian
30,9,-63.11,-60.58,0.01,Pedestrian
30,10,49.28,-103.67,0.35,Pedestrian
30,11,105.68,97.33,0.58,Pedestrian
30,12,50.64,84.56,0.00,Pedestrian
30,13,15.50,125.28,0.91,Pedestrian
30,14,-54.11,-50.66,0.00,Pedestrian
30,15,-133.81,50.74,0.00,Pedestrian
30,16,105.27,42.87,0.00,Pedestrian
30,17,50.75,86.44,0.00,Pedestrian
30,18,-80.30,-140.77,0.00,Pedestrian
31,0,-136.21,8.01,30.44,Vehicle
31,1,100.27,30.40,30.38,Vehicle
31,2,-4.61,-116.15,12.19,Vehicle
31,3,11.77,-136.85,21.08,Vehicle
31,4,-97.40,-45.76,0.20,Vehicle
31,5,-7.89,-96.17,30.47,Vehicle
31,6,5.50,-134.40,12.21,Vehicle
31,7,-145.32,-0.67,23.89,Vehicle
31,8,-48.00,-105.35,9.15,Pedestrian
31,9,-63.29,-60.58,9.15,Pedestrian
31,10,49.45,-103.74,9.12,Pedestrian
31,11,105.80,97.47,9.07,Pedestrian
31,12,50.64,84.74,9.15,Pedestrian
31,13,15.68,125.31,8.97,Pedestrian
31,14,-53.93,-50.66,9.15,Pedestrian
31,15,-133.99,50.74,9.15,Pedestrian
31,16,105.28,43.05,9.15,Pedestrian
31,17,50.75,86.62,9.15,Pedestrian
31,18,-80.48,-140.77,9.15,Pedestrian
