TimeStep,PosX,PosZ,Altitude,Velocity,Battery,TrafficAgentsCount,CurrentPolicy
99,6.20,-115.89,5.02,2.00,0.9969,19,None
100,6.20,-115.89,5.02,2.00,0.9969,19,None
101,6.20,-115.89,5.02,2.00,0.9969,19,None
102,6.15,-115.76,5.02,2.00,0.9969,19,None
103,6.12,-115.70,5.02,2.00,0.9968,19,None
104,6.12,-115.70,5.02,2.00,0.9968,19,None
105,6.12,-115.70,5.02,2.00,0.9968,19,None
106,6.08,-115.59,5.02,2.00,0.9968,19,None
107,6.08,-115.59,5.02,2.00,0.9968,19,None
108,6.08,-115.59,5.02,2.00,0.9968,19,None
109,6.03,-115.47,5.02,2.00,0.9968,19,None
110,6.03,-115.47,5.02,2.00,0.9968,19,None
111,6.03,-115.47,5.02,2.00,0.9968,19,None
112,6.03,-115.47,5.02,2.00,0.9968,19,None
113,5.98,-115.35,5.02,2.00,0.9967,19,None
114,5.98,-115.35,5.02,2.00,0.9967,19,None
115,5.98,-115.35,5.02,2.00,0.9967,19,None
116,5.93,-115.22,5.02,2.00,0.9967,19,None
117,5.93,-115.22,5.02,2.00,0.9967,19,None
118,5.93,-115.22,5.02,2.00,0.9967,19,None
119,5.93,-115.22,5.02,2.00,0.9967,19,None
120,5.93,-115.22,5.02,2.00,0.9967,19,None
121,5.85,-115.03,5.02,2.00,0.9966,19,None
122,5.85,-115.03,5.02,2.00,0.9966,19,None
123,5.85,-115.03,5.02,2.00,0.9966,19,None
124,5.81,-114.92,5.02,2.00,0.9966,19,None
125,5.81,-114.92,5.02,2.00,0.9966,19,None
126,5.78,-114.86,5.02,2.00,0.9966,19,None
127,5.78,-114.86,5.02,2.00,0.9966,19,None
128,5.78,-114.86,5.02,2.00,0.9966,19,None
129,5.73,-114.74,5.02,2.00,0.9966,19,None
130,5.73,-114.74,5.02,2.00,0.9966,19,None
131,5.73,-114.74,5.02,2.00,0.9966,19,None
132,5.68,-114.62,5.02,2.00,0.9965,19,None
133,5.68,-114.62,5.02,2.00,0.9965,19,None
134,5.68,-114.62,5.02,2.00,0.9965,19,None
135,5.68,-114.62,5.02,2.00,0.9965,19,None
136,5.63,-114.49,5.02,2.00,0.9965,19,None
137,5.63,-114.49,5.02,2.00,0.9965,19,None
138,5.63,-114.49,5.02,2.00,0.9965,19,None
139,5.58,-114.37,5.02,2.00,0.9964,19,None
140,5.58,-114.37,5.02,2.00,0.9964,19,None
141,5.58,-114.37,5.02,2.00,0.9964,19,None
142,5.53,-114.25,5.02,2.00,0.9964,19,None
143,5.53,-114.25,5.02,2.00,0.9964,19,None
144,5.53,-114.25,5.02,2.00,0.9964,19,None
145,5.53,-114.25,5.02,2.00,0.9964,19,None
146,5.53,-114.25,5.02,2.00,0.9964,19,None
147,5.46,-114.06,5.02,2.00,0.9964,19,None
148,5.46,-114.06,5.02,2.00,0.9964,19,None
149,5.46,-114.06,5.02,2.00,0.9964,19,None
150,5.46,-114.06,5.02,2.00,0.9964,19,None
151,5.41,-113.93,5.03,2.00,0.9963,19,None
152,5.41,-113.93,5.03,2.00,0.9963,19,None
153,5.38,-113.87,5.03,2.00,0.9963,19,None
154,5.38,-113.87,5.03,2.00,0.9963,19,None
155,5.34,-113.76,5.03,2.00,0.9963,19,None
156,5.34,-113.76,5.03,2.00,0.9963,19,None
157,5.34,-113.76,5.03,2.00,0.9963,19,None
158,5.34,-113.76,5.03,2.00,0.9963,19,None
159,5.29,-113.64,5.03,2.00,0.9962,19,None
