TimeStep,PosX,PosZ,Altitude,Velocity,Battery,TrafficAgentsCount,CurrentPolicy
1,7.47,-130.26,5.01,0.00,0.0000,19,None
2,7.47,-130.26,5.01,0.00,0.0000,19,None
3,7.47,-130.26,5.01,0.00,0.0000,19,None
4,7.47,-130.26,5.01,0.00,0.0000,19,None
5,7.47,-130.26,5.01,0.00,0.0000,19,None
6,7.47,-130.26,5.01,0.00,0.0000,19,None
7,7.46,-130.22,5.01,0.66,0.0000,19,None
8,7.46,-130.22,5.01,0.66,0.0000,19,None
9,7.46,-130.22,5.01,0.66,0.0000,19,None
10,7.46,-130.22,5.01,0.66,0.0000,19,None
11,7.46,-130.22,5.01,0.66,0.0000,19,None
12,7.42,-130.09,5.01,1.32,0.0000,19,None
13,7.42,-130.09,5.01,1.32,0.0000,19,None
14,7.42,-130.09,5.01,1.32,0.0000,19,None
15,7.42,-130.09,5.01,1.32,0.0000,19,None
16,7.42,-130.09,5.01,1.32,0.0000,19,None
17,7.38,-129.91,5.01,2.00,0.0000,19,None
18,7.38,-129.91,5.01,2.00,0.0000,19,None
19,7.35,-129.82,5.01,2.00,0.0000,19,None
20,7.35,-129.82,5.01,2.00,0.0000,19,None
21,7.34,-129.77,5.01,2.00,0.0000,19,None
22,7.34,-129.77,5.01,2.00,0.0000,19,None
23,7.34,-129.77,5.01,2.00,0.0000,19,None
24,7.31,-129.65,5.01,2.00,0.0000,19,None
25,7.31,-129.65,5.01,2.00,0.0000,19,None
26,7.31,-129.65,5.01,2.00,0.0000,19,None
27,7.28,-129.52,5.01,2.00,0.0000,19,None
28,7.28,-129.52,5.01,2.00,0.0000,19,None
29,7.28,-129.52,5.01,2.00,0.0000,19,None
30,7.24,-129.40,5.01,2.00,0.0000,19,None
31,7.24,-129.40,5.01,2.00,0.0000,19,None
32,7.24,-129.40,5.01,2.00,0.0000,19,None
33,7.24,-129.40,5.01,2.00,0.0000,19,None
34,7.21,-129.27,5.01,2.00,0.0000,19,None
35,7.21,-129.27,5.01,2.00,0.0000,19,None
36,7.21,-129.27,5.01,2.00,0.0000,19,None
37,7.18,-129.14,5.01,2.00,0.0000,19,None
38,7.18,-129.14,5.01,2.00,0.0000,19,None
39,7.18,-129.14,5.01,2.00,0.0000,19,None
40,7.14,-129.01,5.01,2.00,0.0000,19,None
41,7.14,-129.01,5.01,2.00,0.0000,19,None
42,7.14,-129.01,5.01,2.00,0.0000,19,None
43,7.11,-128.88,5.01,2.00,0.0000,19,None
44,7.11,-128.88,5.01,2.00,0.0000,19,None
45,7.11,-128.88,5.01,2.00,0.0000,19,None
46,7.11,-128.88,5.01,2.00,0.0000,19,None
